Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
5530,"Milkshake, not chocolate, dry mix, unprepared","Lait frappé, non au chocolat, mélange sec, non préparé",,milkshake,12,43078,14,,,,2026-01-28
5531,"Sweets, pie fillings, cherry, low calorie","Confiseries, garniture à tarte, cerise, hypocalorique","low in calories, low energy, little energy, low source of calories, low source of energy","faible en calorie, peu calorique, peu d'énergie, peu de calories, faible valeur énergétique, pauvre en énergie, pauvre en calories",12,43098,19,,,,2026-01-28
5533,"Snacks, pretzels, soft","Grignotises, bretzels, tendres",,"grignotine, grignotines, grignoterie, grignoteries, snack, snacks, pretzel, pretzels",12,43109,25,,,,2026-01-28
5534,"Beans, chili, barbecue, ranch style, cooked","Haricots, chili, barbecue, ranch, cuit",,"fèves, fêves, fève, fêve",12,43112,16,,,,2026-01-28
5535,"Pasta, vermicelli, made from soy, dry","Pâtes, vermicelles de soya, sec",,"nouilles, pâtes alimentaires, soja",12,43114,16,,,,2026-01-28
5536,"Beans, liquid from stewed kidney beans","Haricots, rouges, liquide seulement",,"fèves, fêves, fève, fêve",12,43125,16,,,,2026-01-28
5537,"Meatless, chicken","Viande, simili, poulet","fake chicken, vegetarian, meatless","sans viande, végé, végétarien, simili viande, sans poulet, sans-poulet",12,43128,16,,,,2026-01-28
5539,"Wiener (frankfurter), meatless","Saucisse fumée (simili viande), végétarienne","vegetarian, meatless, vegetarian sausage","végétarien, végé, sans viande, simili viande",12,43130,16,,,,2026-01-28
5540,"Meatless, luncheon slices","Viande, simili, viande froide","vegetarian, meatless","végétarien, végé, sans viande, simili viande",12,43131,16,,,,2026-01-28
5541,"Meatless, meatballs","Viande, simili, boulettes de viande","vegetarian, meatless","végétarien, végé, sans viande, simili viande",12,43132,16,,,,2026-01-28
5543,"Meatless, fillets","Filet, végétarien, simili viande","vegetarian, meatless","végétarien, végé, sans viande, simili viande",0,43134,16,,,,2026-01-28
5544,"Meatless, sandwich spread","Viande, simili, tartinade à sandwich","vegetarian, meatless","végétarien, végé, sans viande, simili viande",12,43135,16,,,,2026-01-28
5546,"Meatless, meat loaf or patty","Végétarien, pain de viande ou galette, simili viande","vegetarian, meatless","végétarien, végé, sans viande, simili viande",0,43137,16,,,,2026-01-28
5547,"Radish, hawaiian style, pickled","Radis, à l'hawaïenne, mariné",,,12,43142,11,,,,2012-07-03
5548,"Cabbage, japanese style, fresh, pickled","Chou, à la japonaise, frais, mariné",,,12,43143,11,,,,2012-07-03
5549,"Cabbage, mustard, with salt","Chou, moutarde, sel ajouté",,,12,43144,11,,,,2012-07-11
5550,"Eggplant, pickled","Aubergine, marinée",,,12,43146,11,,,,2012-07-03
5551,"Alcohol, wine, cooking","Boisson alcoolisée, vin de cuisine",,,12,43154,14,,,,2026-01-28
5552,"Alcohol, table wine, light","Boisson alcoolisée, vin de table, léger",,,12,43155,14,,,,2026-01-28
5553,"Instant breakfast, powder, chocolate","Déjeuner instantané, poudre, chocolat",meal replacement,substitut de repas,0,43205,14,,,,2026-01-28
5554,"Meatless, bacon bits","Viande, simili, bacon en miettes","fake bacon, vegetarian, meatless","faux bacon, sans viande, végé, végétarien, simili viande",12,43212,16,,,,2026-01-28
5555,"Butter replacement, without fat, powder","Beurre, succédané, sans gras, poudre","fat free, free of fat, no fat, 0 fat, zero fat, without fat, contains no fat, non fat","sans lipides, 0 lipides, zéro lipides, aucuns lipides , ne contient pas de lipides, sans matières grasses, 0 matières grasses, zéro matières grasses, aucunes matières grasses, ne contient pas de matières grasses, sans gras, 0 gras, zéro gras, aucun gras, ne contient pas de gras, sans graisses, 0 graisses, zéro graisses, aucunes graisses, ne contient pas de graisses ",12,43214,4,,,,2026-01-28
5556,"Salad dressing, buttermilk, light","Vinaigrette, babeurre, légère",,,12,43215,4,,,,2012-06-27
5557,"Tomato sauce, unsalted","Tomate, sauce, sans sel","unsalted, ""without added salt"", ""no salt added"", ""no added salt"", ""without added sodium"", ""no sodium added"" or ""no added sodium""","« non additionné de sel », « sans sel ajouté », « aucune addition de sel », « non salé », « aucun sel ajouté », « non additionné de sodium », « sans sodium ajouté », « aucune addition de sodium » ou « aucun sodium ajouté »",12,43217,11,,,,2026-01-28
5558,"Instant breakfast, powder, chocolate, sugar free, with artificial sweetener","Déjeuner instantané, poudre, chocolat, sans sucre, avec édulcorant","sugar free, 0 sugar, zero sugar, contains no sugar, no sugar, free of sugar, without sugar, unsweetened, sugarless, artificial sweetener, artificially sweetened, meal replacement","sans sucre, 0 sucre, zéro sucre, aucun sucre, ne contient pas de sucre, édulcorant artificiel, substitut de repas ",12,43260,14,,,,2026-01-28
5560,"Cream, whipping, substitute, dietetic, powder, prepared","Crème, garniture fouettée, succédané, diététique, poudre, préparée",,,12,43268,1,,,,2016-09-01
5561,"Dessert, frozen, ice cream, sundae, prepackaged","Dessert, congelé, coupe glacée (sundae), préemballé",sunday,sunday,12,43269,19,,,,2026-01-28
5562,"Cheese, cottage, with vegetables","Fromage cottage, avec légumes",,,12,43273,1,,,,2012-07-30
5563,"Cheese, cream cheese product, plain, light","Fromage, produit de fromage à la crème, nature, léger",,,37,43274,1,Kraft Philadelphia,Philadelphia de Kraft,,2026-01-28
5565,"Cheese, cream cheese product, flavoured, savory","Fromage, produit de fromage à la crème, arômatisé, salé",,,37,,1,Kraft Philadelphia (herb and garlic),Philadelphia de Kraft (herbes et ail),,2026-01-28
5566,"Cheese, cheddar, imitation","Fromage cheddar, imitation",,,12,43278,1,,,,2012-07-24
5567,"Quail, cooked, total edible","Caille, cuite, portion comestible",,,12,43282,5,,,,2012-06-19
5568,"Pheasant, total edible, cooked","Faisan, cuit,",,,12,43283,5,,,,2012-06-19
5569,"Egg, chicken, scrambled, frozen mixture","Oeuf, poule, brouillé, congelé",,,12,43285,1,,,,2012-06-29
5570,"Dove (includes squab), cooked","Pigeonneau (pigeon), cuit",,,12,43287,5,,,,2012-06-19
5571,"Pork, oriental style, dehydrated","Porc, style oriental, déshydraté",,,12,43297,10,,,,2012-06-22
